n,seconds
951,0.0147870890
952,0.0150910680
953,0.0150499780
954,0.0149512250
955,0.0149787020
956,0.0153284520
957,0.0153407820
958,0.0166034700
959,0.0149657340
960,0.0148618890
961,0.0150205220
962,0.0151395630
963,0.0153787310
964,0.0153667910
965,0.0152631030
966,0.0152317190
967,0.0153321240
968,0.0156350990
969,0.0165446350
970,0.0160088980
971,0.0161809870
972,0.0163222570
973,0.0160605740
974,0.0166546450
975,0.0169265920
976,0.0160731560
977,0.0167231930
978,0.0164846990
979,0.0166644290
980,0.0167088740
981,0.0168190290
982,0.0167324030
983,0.0169694640
984,0.0168383820
985,0.0172170120
986,0.0170975600
987,0.0170099630
988,0.0169650660
989,0.0171588760
990,0.0174572070
991,0.0179101720
992,0.0172513550
993,0.0170079160
994,0.0173963580
995,0.0172727130
996,0.0172198240
997,0.0169144030
998,0.0174357960
999,0.0170433170
1000,0.0173863970
1001,0.0170505180
1002,0.0169625080
1003,0.0169233220
1004,0.0169815820
1005,0.0169324680
1006,0.0174818250
1007,0.0167176030
1008,0.0170874660
1009,0.0172543670
1010,0.0170845630
1011,0.0172479110
1012,0.0175949840
1013,0.0176367250
1014,0.0178532330
1015,0.0175171740
1016,0.0177303690
1017,0.0181784770
1018,0.0182575290
1019,0.0185562300
1020,0.0185152880
1021,0.0184293340
1022,0.0185632980
1023,0.0188181600
1024,0.0196491430
1025,0.0183742720
1026,0.0186471320
1027,0.0197806870
1028,0.0188441220
1029,0.0182984550
1030,0.0180784170
1031,0.0180521320
1032,0.0180516210
1033,0.0179031180
1034,0.0179152610
1035,0.0187261900
1036,0.0187106660
1037,0.0189576540
1038,0.0188225950
1039,0.0189108100
1040,0.0191950390
1041,0.0189257470
1042,0.0190609240
1043,0.0188767160
1044,0.0192684460
1045,0.0224263570
1046,0.0189785720
1047,0.0190419820
1048,0.0190045700
1049,0.0191953630
1050,0.0191258850
1051,0.0195353470
1052,0.0188867730
1053,0.0179523780
1054,0.0189038180
1055,0.0180642280
1056,0.0180843430
1057,0.0183295900
1058,0.0182354130
1059,0.0182507860
1060,0.0182666010
1061,0.0183155970
1062,0.0185849780
1063,0.0186066500
1064,0.0187553300
1065,0.0186799010
1066,0.0188137240
1067,0.0187967230
1068,0.0187742620
1069,0.0187473100
1070,0.0188290040
1071,0.0188682610
1072,0.0190190100
1073,0.0191706140
1074,0.0189638850
1075,0.0191887090
1076,0.0191239040
1077,0.0191667990
1078,0.0192684210
1079,0.0192114190
1080,0.0195651310
1081,0.0203930300
1082,0.0193251040
1083,0.0194935490
1084,0.0194472700
1085,0.0194888150
1086,0.0195037520
1087,0.0195295610
1088,0.0196790750
1089,0.0195772710
1090,0.0196096410
1091,0.0196244740
1092,0.0196874550
1093,0.0196791180
1094,0.0197485520
1095,0.0199328640
1096,0.0199953050
1097,0.0204916670
1098,0.0199754960
1099,0.0199665270
1100,0.0200682070
1101,0.0202204220
1102,0.0201209680
1103,0.0201522260
1104,0.0201578730
1105,0.0202839890
1106,0.0206301000
1107,0.0205138370
1108,0.0203674210
1109,0.0206077840
1110,0.0203599110
1111,0.0204798780
1112,0.0205765980
1113,0.0206363930
1114,0.0204954850
1115,0.0206336440
1116,0.0205613830
1117,0.0206486630
1118,0.0207602350
1119,0.0206859200
1120,0.0208423130
1121,0.0208831670
1122,0.0210316080
1123,0.0208751480
1124,0.0210082020
1125,0.0211457650
1126,0.0210285180
1127,0.0209893880
1128,0.0211034440
1129,0.0212207510
1130,0.0212216870
1131,0.0213672730
1132,0.0216112750
1133,0.0213780080
1134,0.0209752380
1135,0.0211327360
1136,0.0210766440
1137,0.0209800540
1138,0.0212187820
1139,0.0212456220
1140,0.0212750870
1141,0.0211328090
1142,0.0216586600
1143,0.0212415930
1144,0.0214325960
1145,0.0214007210
1146,0.0212719300
1147,0.0214655830
1148,0.0220642130
1149,0.0217559860
1150,0.0219926460
1151,0.0219915030
1152,0.0220885130
1153,0.0222543620
1154,0.0219860340
1155,0.0224689690
1156,0.0220983780
1157,0.0223696460
1158,0.0224398760
1159,0.0224124360
1160,0.0222917910
1161,0.0225121270
1162,0.0224373940
1163,0.0227098080
1164,0.0226310330
1165,0.0226715820
1166,0.0227630150
1167,0.0226021740
1168,0.0228922610
1169,0.0227073880
1170,0.0231190680
1171,0.0229237570
1172,0.0229110760
1173,0.0234413610
1174,0.0230882430
1175,0.0231776780
1176,0.0230562850
1177,0.0230668360
1178,0.0233787090
1179,0.0232720460
1180,0.0235024110
1181,0.0233136870
1182,0.0232631560
1183,0.0234254530
1184,0.0236484030
1185,0.0235251080
1186,0.0236436360
1187,0.0235651650
1188,0.0236666340
1189,0.0235967650
1190,0.0237295060
1191,0.0238520930
1192,0.0238048500
1193,0.0237500530
1194,0.0237015420
1195,0.0238822490
1196,0.0240207650
1197,0.0240181680
1198,0.0237309570
1199,0.0239540480
1200,0.0244195450
1201,0.0241538430
1202,0.0242799370
1203,0.0245021860
1204,0.0244247300
1205,0.0240649790
1206,0.0243650150
1207,0.0244041080
1208,0.0243039470
1209,0.0245619940
1210,0.0244638600
1211,0.0244803570
1212,0.0245412190
1213,0.0246543070
1214,0.0246471060
1215,0.0246255460
1216,0.0245967340
1217,0.0247608990
1218,0.0247522430
1219,0.0248420380
1220,0.0248338030
1221,0.0255411280
1222,0.0248154740
1223,0.0250544650
1224,0.0248855570
1225,0.0249841490
1226,0.0251471350
1227,0.0250542090
1228,0.0251860770
1229,0.0253033610
1230,0.0251484610
1231,0.0254652500
1232,0.0252534950
1233,0.0253435230
1234,0.0253709010
1235,0.0253539340
1236,0.0254901540
1237,0.0256056500
1238,0.0254209190
1239,0.0256589970
1240,0.0255780910
1241,0.0264146350
1242,0.0258165390
1243,0.0257039950
1244,0.0260279090
1245,0.0259311730
1246,0.0262764570
1247,0.0259524260
1248,0.0258345870
1249,0.0264083200
1250,0.0260371210
1251,0.0261151820
1252,0.0261070680
1253,0.0262050920
1254,0.0264019330
1255,0.0261067070
1256,0.0262948620
1257,0.0264611430
1258,0.0265159610
1259,0.0266072690
1260,0.0265740510
1261,0.0260070640
1262,0.0258519340
1263,0.0256872310
1264,0.0261138350
1265,0.0262058590
1266,0.0262414330
1267,0.0258393730
1268,0.0259177250
1269,0.0261265300
1270,0.0261185580
1271,0.0262277950
1272,0.0260441820
1273,0.0261904140
1274,0.0266071770
1275,0.0267762420
1276,0.0268374690
1277,0.0266253130
1278,0.0270865310
1279,0.0273787570
1280,0.0271676490
1281,0.0272638410
1282,0.0269955000
1283,0.0271932330
1284,0.0272479210
1285,0.0273689940
1286,0.0274215560
1287,0.0274965990
1288,0.0276089320
1289,0.0274947950
1290,0.0274011190
1291,0.0275868650
1292,0.0276070220
1293,0.0275855980
1294,0.0276464980
1295,0.0276953990
1296,0.0277136270
1297,0.0279779330
1298,0.0282982190
1299,0.0277791370
1300,0.0280479550
1301,0.0280065680
1302,0.0281277520
1303,0.0282268930
1304,0.0288693740
1305,0.0281661180
1306,0.0283772210
1307,0.0283241550
1308,0.0284889260
1309,0.0284357520
1310,0.0284826540
1311,0.0284905750
1312,0.0284677350
1313,0.0286269410
1314,0.0284786640
1315,0.0286626880
1316,0.0287460720
1317,0.0309627250
1318,0.0282215070
1319,0.0290532200
1320,0.0295472410
1321,0.0299670600
1322,0.0300951790
1323,0.0302556310
1324,0.0302120380
1325,0.0300523610
1326,0.0304566490
1327,0.0304989730
1328,0.0304905310
1329,0.0306745260
1330,0.0305080530
1331,0.0308061550
1332,0.0308047370
1333,0.0311776970
1334,0.0310100360
1335,0.0309585820
1336,0.0310267250
1337,0.0321129900
1338,0.0311209120
1339,0.0311921000
1340,0.0311651400
1341,0.0314043170
1342,0.0312656540
1343,0.0310865250
1344,0.0313393110
1345,0.0315089180
1346,0.0317713280
1347,0.0314632270
1348,0.0320448530
1349,0.0320737260
1350,0.0316644590
1351,0.0317513210
1352,0.0317466210
1353,0.0316814840
1354,0.0319659790
1355,0.0320288620
1356,0.0320606380
1357,0.0322243360
1358,0.0318406310
1359,0.0319066250
1360,0.0320941460
1361,0.0322217850
1362,0.0320430090
1363,0.0322402810
1364,0.0324080700
1365,0.0327368650
1366,0.0330436060
1367,0.0325921790
1368,0.0324734870
1369,0.0328793190
1370,0.0326156580
1371,0.0327870240
1372,0.0305857720
1373,0.0305275230
1374,0.0308013920
1375,0.0306345350
1376,0.0305994610
1377,0.0308067850
1378,0.0310923570
1379,0.0315647760
1380,0.0311525730
1381,0.0316558010
1382,0.0313605380
1383,0.0314452180
1384,0.0316150110
1385,0.0316625010
1386,0.0316278880
1387,0.0317152460
1388,0.0318129940
1389,0.0319845400
1390,0.0318761640
1391,0.0319301060
1392,0.0319130950
1393,0.0318185810
1394,0.0321670140
1395,0.0319226140
1396,0.0321200690
1397,0.0322671590
1398,0.0324290590
1399,0.0325996070
1400,0.0326414990
1401,0.0320236870
1402,0.0330089670
1403,0.0334152870
1404,0.0337296790
1405,0.0338938240
1406,0.0340470760
1407,0.0342727630
1408,0.0343555370
1409,0.0343846260
1410,0.0342676700
1411,0.0343034510
1412,0.0345402880
1413,0.0354938910
1414,0.0345744130
1415,0.0350219700
1416,0.0344737400
1417,0.0346394330
1418,0.0348549470
1419,0.0349617420
1420,0.0349827860
1421,0.0347715490
1422,0.0350794230
1423,0.0353417610
1424,0.0350498940
1425,0.0350304530
1426,0.0352899300
1427,0.0356023590
1428,0.0358141610
1429,0.0360240290
1430,0.0353229750
1431,0.0355905400
1432,0.0354296000
1433,0.0371728550
1434,0.0355964940
1435,0.0359356340
1436,0.0357188350
1437,0.0359015610
1438,0.0359282980
1439,0.0358540100
1440,0.0359024770
1441,0.0358993790
1442,0.0366338380
1443,0.0360663520
